SCOPE,TM,RS,NAME,G,GS,MIN,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF,DEF,TREB,AST,PF,DQ,STL,TO,BLK,PTS,PPG,HI,Starter
Total,OKC,ACT,Wallace,68,43,1876,232,489,0.474,74,208,0.356,30,37,0.811,71,158,229,173,145,1,120,59,35,568,8.4,20,1
Total,ATL,ACT,Wallace,30,4,464,58,142,0.408,26,75,0.347,11,11,1.0,7,32,39,66,36,0,23,30,9,153,5.1,27,0
Total,BOS,ACT,Walsh,51,1,382,26,76,0.342,13,51,0.255,7,12,0.583,21,40,61,18,28,0,10,14,10,72,1.4,10,0
Total,TOR,ACT,Walter,52,18,1103,159,393,0.405,65,186,0.349,66,83,0.795,59,101,160,81,95,1,43,50,10,449,8.6,27,0
Total,MIA,ACT,Ware,63,35,1403,251,452,0.555,34,108,0.315,46,67,0.687,116,353,469,59,109,0,38,57,70,582,9.2,25,1
Total,DAL,ACT,Washington,57,56,1835,301,665,0.453,91,239,0.381,143,198,0.722,82,360,442,131,131,0,63,118,60,836,14.7,30,1
Total,PHO,ACT,Washington,15,0,105,13,40,0.325,4,20,0.2,3,4,0.75,4,8,12,15,4,0,3,3,0,33,2.2,11,0
Total,DET,ACT,Waters,51,9,743,86,233,0.369,58,170,0.341,8,11,0.727,20,84,104,51,61,0,26,20,10,238,4.7,21,0
Total,BRK,ACT,Watford,43,5,879,156,338,0.462,28,86,0.326,90,117,0.769,37,116,153,111,90,0,25,79,11,430,10.0,26,0
Total,DEN,ACT,Watson,67,18,1639,201,422,0.476,46,133,0.346,94,135,0.696,46,183,229,94,123,1,47,56,92,542,8.1,24,0
Total,MEM,ACT,Wells,79,74,2043,287,676,0.425,138,392,0.352,111,135,0.822,87,181,268,135,146,0,44,69,8,823,10.4,30,1
Total,SA,ACT,Wembanyama,46,46,1527,408,857,0.476,142,403,0.352,158,189,0.836,82,424,506,168,105,0,52,149,176,1116,24.3,50,1
Total,SA,ACT,Wesley,57,0,664,79,181,0.436,17,56,0.304,34,57,0.596,17,43,60,110,44,0,35,51,6,209,3.7,15,0
Total,DEN,ACT,Westbrook,74,36,2069,368,822,0.448,94,288,0.326,147,225,0.653,102,268,370,451,187,1,106,241,37,977,13.2,30,0
Total,CHI,ACT,White,73,72,2432,507,1115,0.455,216,582,0.371,277,307,0.902,25,244,269,326,153,0,69,174,15,1507,20.6,44,1
Total,BOS,ACT,White,76,76,2574,424,959,0.442,265,691,0.384,135,161,0.839,67,274,341,361,138,1,72,131,80,1248,16.4,41,1
Total,BRK,ACT,Whitehead,19,0,236,38,93,0.409,32,72,0.444,3,5,0.6,3,25,28,12,20,0,6,15,1,111,5.8,18,0
Total,HOU,ACT,Whitmore,50,3,809,176,397,0.443,63,181,0.348,52,70,0.743,35,114,149,48,43,0,30,44,13,467,9.3,34,0
